portfolio_y_reserves,portfolio_x_reserves,portfolio_prices,exchange_prices,arbitrageur_balance_x,arbitrageur_balance_y,drift,timestep,seed,mean_reversion_speed,mean_price
48.006115306038474,48.006115306038474,1.0,1.0,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.0,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.166362712988145,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.2237931957553667,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.1886996643979568,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.006115306038474,48.006115306038474,1.0,1.1085116538331385,4809.0,4809.0,1.0,0.01,1,10.0,1.0
48.01331764774257,47.99892023172384,1.0000180581734548,1.0066476405141291,4809.007195074315,4808.992797658296,1.0,0.01,1,10.0,1.0
48.01331764774257,47.99892023172384,1.0000180581734548,1.1978270491696368,4809.007195074315,4808.992797658296,1.0,0.01,1,10.0,1.0
48.01331764774257,47.99892023172384,1.0000180581734548,1.1627219539261033,4809.007195074315,4808.992797658296,1.0,0.01,1,10.0,1.0
48.01331764774257,47.99892023172384,1.0000180581734548,1.1899381051639242,4809.007195074315,4808.992797658296,1.0,0.01,1,10.0,1.0
48.01331764774257,47.99892023172384,1.0000180581734548,1.176152282430784,4809.007195074315,4808.992797658296,1.0,0.01,1,10.0,1.0
